0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
AGX|AGX|Агатти-Айленд|Агатти-Айленд|Agatti Island|Agatti Island|Агатти-Айленд|Агатти-Айленд|Agatti Island|Agatti Island|Индия|Индия|10.823656|10.823656|72.176042|72.176042
AGY|AGY|||Argyle Downs|Argyle Downs|||Argyle Downs|Argyle Downs|Австралия|Австралия|-16.333|-16.333|128.767|128.767
AGZ|AGZ|Аггенейз|Аггенейз|Aggeneys|Aggeneys|Аггенейз|Аггенейз|Aggeneys|Aggeneys|ЮАР|ЮАР|-29.279166|-29.279166|18.817500|18.817500
AHA|AHA|||Naha Air Force Base|Naha Air Force Base|Окинава|Окинава|Okinawa|Okinawa|Япония|Япония|26.2|26.2|127.65|127.65
AHB|AHB|Абха|Абха|Abha|Abha|Абха|Абха|Abha|Abha|Саудовская Аравия|Саудовская Аравия|18.240278|18.240278|42.656389|42.656389
AHC|AHC|||Amedee AAF|Amedee AAF|||Herlong|Herlong|Норвегия|Норвегия|40.265918|40.265918|-120.150613|-120.150613
AHD|AHD|||Downtown|Downtown|Ардмор|Ардмор|Ardmore|Ardmore|США|США|34.146972|34.146972|-97.122666|-97.122666
AHE|AHE|||Ahe Airport|Ahe Airport|||Ahe|Ahe|Французская Полинезия|Французская Полинезия|-14.427778|-14.427778|-146.255000|-146.255000
AHF|AHF|||Municipal|Municipal|||Arapahoe|Arapahoe|Гватемала|Гватемала|40.339451|40.339451|-99.906513|-99.906513
AHH|AHH|||Municipal|Municipal|||Amery|Amery|США|США|45.281148|45.281148|-92.375391|-92.375391
AHI|AHI|Амахаи|Амахаи|Amahai|Amahai|Амахаи|Амахаи|Amahai|Amahai|Индонезия|Индонезия|-3.348|-3.348|128.926|128.926
AHL|AHL|Аисхалтон|Аисхалтон|Aishalton|Aishalton|Аисхалтон|Аисхалтон|Aishalton|Aishalton|Гайана|Гайана|2.473604|2.473604|-59.321109|-59.321109
AHN|AHN|Афины|Афины|Athens|Athens|Афины|Афины|Athens|Athens|Греция|Греция|33.948640|33.948640|-83.325913|-83.325913
AHO|AHO|||Fertilia|Fertilia|||Alghero|Alghero|Италия|Италия|40.632133|40.632133|8.290772|8.290772
AHS|AHS|Ахуас|Ахуас|Ahuas|Ahuas|Ахуас|Ахуас|Ahuas|Ahuas|Гондурас|Гондурас|15.472833|15.472833|-84.354666|-84.354666
AHT|AHT|Ам-Тиман|Ам-Тиман|Amchitka|Amchitka|Ам-Тиман|Ам-Тиман|Amchitka|Amchitka|США|США|51.5|51.5|179|179
AHU|AHU|||Charif Al Idrissi|Charif Al Idrissi|||Al Hoceima|Al Hoceima|Марокко|Марокко|35.177103|35.177103|-3.839524|-3.839524
AHY|AHY|Амбатолахи|Амбатолахи|Ambatolahy|Ambatolahy|Амбатолахи|Амбатолахи|Ambatolahy|Ambatolahy|Мадагаскар|Мадагаскар|-20.000|-20.000|45.533|45.533
AHZ|AHZ|||Alpe D Huez|Alpe D Huez|||Alpe D Huez|Alpe D Huez|Франция|Франция|45.088333|45.088333|6.084722|6.084722
AIA|AIA|Альянс|Альянс|Alliance|Alliance|||Alliance|Alliance|США|США|42.053222|42.053222|-102.803749|-102.803749
AIB|AIB|Анита Бэй|Анита Бэй|Anita Bay|Anita Bay|||Anita Bay|Anita Bay|США|США|56.233333333333|56.233333333333|-132.38333333333|-132.38333333333
AIC|AIC|Айрок|Айрок|Airok|Airok|||Airok, Ailinglaplap|Airok, Ailinglaplap|Маршалловы острова|Маршалловы острова|7.279167|7.279167|168.825556|168.825556
